Postcode,Latitude,Longitude
CT2 7PT,51.290207,1.08818
TN126HX,51.180578000000004,0.39075
ME157EZ,51.253544,0.551654
TN1 2LN,51.141898,0.27524699999999996
TN9 1PP,51.197114,0.285066
TN172BD,51.144148,0.611701
TN4 9BU,51.150641,0.27103
TN126JN,51.177312,0.387261
CT195AL,51.083587,1.1761139999999999
CT119HN,51.334413,1.416748
CT9 2PA,51.387734,1.398309
DA124TY,51.431785,0.394176
DA9 9BL,51.449738,0.263706
CT196AJ,51.082074,1.187092
CT201NR,51.085284,1.186142
TN110DQ,51.22371,0.336025
TN131DW,51.276859,0.182902
TN156HD,51.350525,0.25673
CT9 3XP,51.377933,1.4093120000000001
CT9 3SG,51.376798,1.403507
TN306PE,51.084635,0.696425
CT195TL,51.089713,1.163494
ME149FQ,51.237695,0.563657
CT6 8FJ,51.363184999999994,1.096165
CT102EJ,51.347635,1.427543
TN127AB,51.148353,0.39955100000000005
DA1 5AU,51.455434999999994,0.20548899999999998
ME3 7LU,51.427021999999994,0.463872
DA130DB,51.354821,0.374231
TN1 2HW,51.133784000000006,0.272561
CT6 7TS,51.357517,1.11114
TN146QP,51.236216999999996,0.192581
TN120BG,51.157406,0.551379
DA109DN,51.444701,0.209648
CT5 1BT,51.360487,1.023172
TN9 1XW,51.19663,0.25683
CT9 5JS,51.380935,1.35303
TN270EG,51.190023,0.8126979999999999
TN254JJ,51.179475,0.833448
CT1 1WN,51.269377,1.105107
CT155EA,51.144776,1.324676
TN4 8HR,51.123603,0.24928000000000003
ME124JS,51.419159,0.8717450000000001
ME104EE,51.332506,0.734236
CT6 8LF,51.364992,1.1002809999999998
BR8 8FB,51.392689000000004,0.175227
TN150DH,51.292871000000005,0.21995
TN8 6HX,51.211863,0.059954999999999994
TN3 0LB,51.150913,0.206066
CT110LB,51.335177,1.387066
ME9 8HZ,51.327905,0.706183
CT187BH,51.133875,1.159322
TN128HQ,51.162551,0.448705
CT146HP,51.225258000000004,1.403408
ME156TA,51.261419000000004,0.508958
DA1 1SW,51.442257,0.229419
ME168TW,51.270123999999996,0.489231
DA2 6HN,51.440233,0.24592600000000003
TN306RP,51.071301,0.696192
CT203YW,51.075701,1.1491149999999999
DA1 1JL,51.438434,0.217117
CT1 3UZ,51.268611,1.060435
ME6 9SD,51.274307,0.39169899999999996
TN145QL,51.311261,0.20956
CT9 1RQ,51.386294,1.390267
BR8 7WY,51.405274,0.193858
DA1 1UB,51.444162,0.228562
ME137JY,51.315796,0.886652
TN120NJ,51.163531,0.551774
TN233SN,51.155501,0.8480559999999999
ME186JR,51.226969,0.431226
TN279DJ,51.194595,0.728694
DA1 5QF,51.458767,0.229935
DA4 9DL,51.392363,0.24731799999999998
CT3 1AF,51.27064,1.216464
TN2 5PP,51.122168,0.24962600000000001
DA121LD,51.436728,0.370922
TN127NS,51.15358,0.398606
ME6 9DS,51.326341,0.446642
CT5 3PX,51.348385,1.073421
CT102QW,51.357392,1.400831
CT126BP,51.347815999999995,1.401946
DA123DR,51.417021999999996,0.432856
ME171AW,51.243685,0.680443
TN126LF,51.174303,0.390139
CT102YJ,51.354027,1.407664
TN173QD,51.07974,0.509979
ME1 3XR,51.346911,0.46287399999999995
CT202NY,51.078604999999996,1.157152
CT9 4AH,51.376402,1.3926690000000002
CT101AE,51.368367,1.442342
ME9 0AT,51.286384000000005,0.764884
ME139LY,51.292993,0.9222459999999999
CT188HH,51.127933,1.092618
CT126PX,51.346546999999994,1.398534
TN3 0JL,51.134643,0.207063
TN103QL,51.219087,0.280885
ME142ES,51.286003,0.532155
CT3 3EX,51.229145,1.198167
TN1 1UG,51.126328,0.26193299999999997
CT196QF,51.097034,1.17615
TN133DT,51.281313,0.173104
ME6 5FZ,51.334653,0.43837
TN290TT,51.0467,1.031536
TN150BY,51.297546000000004,0.217221
TN249PW,51.159191,0.8894049999999999
TN125EB,51.211341,0.384711
TN270LL,51.213399,0.79469
DA179AP,51.4447,0.20961999999999997
ME160QD,51.282641,0.48975
TN110DR,51.224911999999996,0.340669
ME1 3FE,51.329212,0.48285600000000006
ME159ST,51.249965,0.521332
TN2 4BA,51.14544,0.33916199999999996
ME102HS,51.352338,0.7303609999999999
CT187AB,51.100956,1.157378
TN131HA,51.275831,0.183541
TN254DU,51.167214,0.8981040000000001
CT125HD,51.346662,1.386218
TN125HL,51.214728,0.39372199999999996
CT102JQ,51.3585,1.427292
ME9 7SP,51.342227,0.645021
ME150AR,51.237695,0.563657
DA9 9XN,51.455273999999996,0.294425
CT147QU,51.200589,1.3868120000000002
CT3 1EH,51.303376,1.227105
ME138AA,51.314921000000005,0.892582
CT140NS,51.226006,1.318856
CT163JD,51.163891,1.2919450000000001
CT130QW,51.272180999999996,1.3358219999999998
CT102DU,51.351978,1.4288450000000001
ME174HF,51.236816999999995,0.49952399999999997
TN288JZ,50.985202,0.9454870000000001
CT9 4JF,51.368905,1.389082
DA124JH,51.429731,0.389522
TN255HQ,51.167392,0.9865299999999999
TN118LE,51.200533,0.17216099999999998
TN254QH,51.17255,0.871397
TN279LJ,51.192871999999994,0.6653399999999999
ME6 5NS,51.325295000000004,0.429519
CT1 9SW,51.283457,1.093091
TN1 2FA,51.135907,0.26233
TN146DH,51.278564,0.127419
TN139TB,51.270281,0.191735
DA1 2RS,51.436445,0.21056
CT9 3EE,51.388979,1.421937
TN1 2FE,51.140925,0.27071
DA125EP,51.411275,0.381196
CT3 1RY,51.288437,1.183266
TN255AY,51.179144,0.938034
CT4 5AQ,51.204144,1.05915
ME9 8AY,51.296378000000004,0.669913
TN118LN,51.202743,0.17868
CT9 1LA,51.385127000000004,1.3817709999999999
ME103ET,51.343154,0.732444
TN4 9EH,51.149415000000005,0.267924
CT163BS,51.149378000000006,1.277382
ME156LF,51.262907,0.515074
CT179PA,51.124516,1.293331
CT6 6RS,51.369687,1.166815
TN299YG,50.947072999999996,0.96325
ME150QS,51.225941,0.46399999999999997
CT2 9BQ,51.289157,1.047959
ME6 5NZ,51.331616,0.44083599999999995
CT188BU,51.112572,1.092177
CT188HT,51.128139000000004,1.090916
ME207SG,51.295638000000004,0.474416
TN173LH,51.094409000000006,0.525428
TN184EU,51.047090000000004,0.511338
ME150JS,51.252998999999996,0.475666
TN239JG,51.146561,0.875617
ME123HY,51.418874,0.7671939999999999
CT5 2NA,51.362218,1.065569
ME142HW,51.288071,0.535511
ME109HX,51.339214,0.734379
CT110GE,51.327946999999995,1.4018950000000001
ME9 7XL,51.342366999999996,0.635637
CT147SP,51.208123,1.3931799999999999
DA118FB,51.432497,0.33213000000000004
ME9 7HH,51.389066,0.653084
CT215DT,51.073625,1.086023
TN1 1XF,51.128434000000006,0.261851
CT110RW,51.338383,1.397484
TN125HT,51.217974,0.395967
CT214LG,51.074597999999995,1.0233649999999999
TN125JE,51.218773999999996,0.39337300000000003
TN4 8HQ,51.135459999999995,0.260807
ME123BY,51.422061,0.776176
TN2 5BD,51.124276,0.275924
CT130AP,51.268632000000004,1.3375860000000002
TN231LA,51.149388,0.868914
ME158LJ,51.263942,0.563125
TN236JU,51.126789,0.862142
TN255BT,51.183667,0.936575
TN126TH,51.182693,0.350277
DA129SB,51.438608,0.368645
ME156XL,51.258045,0.5211439999999999
TN288TW,50.992681,0.943915
ME6 5AL,51.32966,0.44623
TN249AZ,51.167148,0.882592
DA124NP,51.422751,0.393948
TN126AX,51.18077,0.38485
CT147HU,51.208791999999995,1.396451
BR6 7PJ,51.354499,0.145325
CT194JZ,51.088314000000004,1.132305
TN173EP,51.096037,0.531687
TN118RT,51.195128000000004,0.2121
TN132TA,51.296383,0.164979
TN156RA,51.307122,0.21442600000000003
DA110HN,51.440346000000005,0.363195
TN4 8YU,51.127108,0.258341
ME9 7SG,51.339214,0.734379
CT9 3NF,51.384959,1.410524
CT9 1NL,51.383871,1.3844809999999999
CT170PX,51.14326,1.269727
ME101EX,51.334689000000004,0.727
