date,DIS,FB,SBUX,WMT,WST
2014-12-16,85.0668,74.69,36.9281,74.2951,50.8115
2014-12-17,86.2083,76.11,37.5371,75.4324,52.5974
2014-12-18,87.3687,78.4,37.3481,76.9638,53.4613
2014-12-19,87.6329,79.88,37.0728,76.2653,53.0633
2014-12-22,88.8687,81.45,37.5861,77.3579,52.9371
2014-12-23,89.331,80.61,38.0015,77.6086,52.0053
2014-12-24,89.0763,80.77,37.9268,77.4026,52.3548
2014-12-26,89.6518,80.775,38.1881,77.8325,52.3159
2014-12-29,90.0952,80.02,38.4448,77.5907,52.1898
2014-12-30,89.3404,79.22,38.1695,77.725,51.8112
2014-12-31,88.8593,78.02,38.2908,76.9101,51.6753
2015-01-02,88.4442,78.45,38.0061,76.928,50.6271
2015-01-05,87.1517,77.19,37.2781,76.7041,49.9282
2015-01-06,86.6895,76.15,36.9748,77.2952,49.0741
2015-01-07,87.5763,76.15,37.8848,79.346,49.87
2015-01-08,88.4819,78.175,38.4961,81.0207,50.8503
2015-01-09,88.9159,77.74,37.2361,80.0177,50.268
2015-01-12,89.114,76.72,37.4415,80.6177,50.3553
2015-01-13,89.8027,76.45,37.7401,79.9818,50.9377
2015-01-14,88.897,76.28,37.5301,77.5638,50.1127
2015-01-15,89.0102,74.05,37.1381,78.2534,49.3362
2015-01-16,89.7933,75.18,37.6188,77.7071,50.4451
2015-01-20,89.3782,76.24,37.9058,77.6355,50.1922
2015-01-21,88.8404,76.74,37.9361,77.5907,49.6085
2015-01-22,89.765,77.65,38.6128,79.0773,49.6085
2015-01-23,89.3593,77.83,41.1702,79.2654,49.3167
2015-01-26,89.5952,77.495,41.1235,79.3729,49.9879
2015-01-27,88.6517,75.78,41.2262,78.3877,49.3751
2015-01-28,87.4253,76.24,40.8645,77.7519,48.451
2015-01-29,87.9442,78.0,41.5575,78.5579,48.8206
2015-01-30,85.8121,75.91,40.8482,76.1041,47.9646
2015-02-02,86.7272,74.99,41.0629,76.7578,47.8479
2015-02-03,88.7744,75.4,41.4469,77.1877,48.5191
2015-02-04,95.548,75.63,41.5453,77.5997,48.7525
2015-02-05,96.8311,75.615,41.9856,78.1639,49.9782
2015-02-06,96.2462,74.47,41.6858,78.2086,49.5793
2015-02-09,95.9726,74.44,41.6015,76.937,48.4704
2015-02-10,96.1518,75.19,42.7069,78.1728,49.2194
2015-02-11,96.1046,76.51,42.5242,77.322,49.6572
2015-02-12,97.7179,76.23,43.009,76.919,49.3945
2015-02-13,98.2745,75.74,42.8942,76.8474,49.949
2015-02-17,98.2273,75.6,43.105,76.9817,50.1241
2015-02-18,97.982,76.71,43.5593,77.2773,50.9314
2015-02-19,98.0103,79.42,43.639,74.7966,52.1862
2015-02-20,98.633,79.895,43.7982,75.4951,52.2835
2015-02-23,99.0481,78.84,43.831,75.7638,52.6628
2015-02-24,98.7462,78.45,43.7701,75.7369,53.2368
2015-02-25,99.5952,79.56,44.1495,74.8414,53.4118
2015-02-26,98.6424,80.41,44.2853,75.0473,53.4508
2015-02-27,98.1896,78.97,43.7865,75.1638,53.227
2015-03-02,99.8971,79.75,44.1331,75.1906,53.8009
2015-03-03,100.3311,79.6,44.0277,74.6622,53.2173
2015-03-04,99.5952,80.895,43.5874,73.9548,53.0325
2015-03-05,99.0858,81.21,43.8544,74.8414,53.2951
2015-03-06,97.9443,80.005,43.1917,73.9637,52.4489
2015-03-09,99.3028,79.44,43.5781,74.2234,52.799
2015-03-10,97.2556,77.55,43.1753,73.498,52.4002
2015-03-11,97.0669,77.57,42.8193,72.6962,52.6823
2015-03-12,101.1047,78.93,43.7373,73.7864,52.8963
2015-03-13,100.416,78.05,43.6952,73.7864,52.7309
2015-03-16,101.2934,78.07,44.0488,75.0387,54.1219
2015-03-17,100.9066,79.365,44.208,74.435,54.3943
2015-03-18,101.8594,80.91,44.8895,74.354,54.7445
2015-03-19,101.2934,82.75,45.7888,73.444,55.2114
2015-03-20,102.2934,83.8,45.6483,74.9936,56.33
2015-03-23,102.0953,84.43,45.6062,75.0567,56.33
2015-03-24,101.0481,85.31,45.8614,74.8224,56.7385
2015-03-25,99.0575,82.92,44.8567,73.2638,56.33
2015-03-26,99.2839,83.01,44.5336,73.7774,56.0868
2015-03-27,99.5103,83.3,44.5289,73.2909,56.7677
2015-03-30,100.1141,83.195,44.9551,74.354,58.0712
2015-03-31,98.9537,82.215,44.3556,74.1017,58.5672
2015-04-01,99.4726,81.665,43.5687,72.7143,55.3378
2015-04-02,100.0009,81.555,44.2104,72.7323,55.1336
2015-04-06,99.6518,82.44,44.2713,72.9665,54.511
2015-04-07,99.4632,82.32,44.0605,72.5251,54.3651
2015-04-08,100.3405,82.275,44.6038,73.0026,54.6958
2015-04-09,100.7273,82.17,44.927,72.8314,54.5207
2015-04-10,100.8971,82.04,45.1237,72.6602,54.8612
2015-04-13,100.482,83.01,45.4329,72.3359,55.0266
2015-04-14,100.6236,83.515,45.2455,72.2097,55.0655
2015-04-15,100.9254,82.705,45.0956,71.8403,55.367
2015-04-16,101.9821,82.31,45.194,71.3899,54.5791
2015-04-17,100.6519,80.775,44.6085,70.1646,54.0636
2015-04-20,102.0953,83.09,44.9364,70.3989,54.9407
2015-04-21,101.5858,83.62,45.3111,70.2998,55.1357
2015-04-22,101.8311,84.63,45.2783,70.6601,54.7068
2015-04-23,102.8311,82.41,46.304,71.3358,55.1649
2015-04-24,103.3311,81.53,48.5616,71.9304,55.9251
